Destination,Origin,Year,Value,world_tot,percentage
Albania,WORLD,1990,66013,152986157,0.000431497
Albania,WORLD,1995,71354,161289976,0.000442396
Albania,WORLD,2000,76695,173230585,0.000442734
Albania,WORLD,2005,64739,191446828,0.000338157
Albania,WORLD,2010,52784,220983187,0.00023886
Albania,WORLD,2015,52031,247958644,0.000209837
Albania,WORLD,2020,48810,280598105,0.00017395
Andorra,WORLD,1990,38891,152986157,0.000254213
Andorra,WORLD,1995,44206,161289976,0.000274078
Andorra,WORLD,2000,42147,173230585,0.0002433
Andorra,WORLD,2005,50298,191446828,0.000262726
Andorra,WORLD,2010,52053,220983187,0.000235552
Andorra,WORLD,2015,42264,247958644,0.000170448
Andorra,WORLD,2020,45574,280598105,0.000162417
Bosnia and Herzegovina,WORLD,1990,56000,152986157,0.000366046
Bosnia and Herzegovina,WORLD,1995,69476,161289976,0.000430752
Bosnia and Herzegovina,WORLD,2000,82952,173230585,0.000478853
Bosnia and Herzegovina,WORLD,2005,47287,191446828,0.000246998
Bosnia and Herzegovina,WORLD,2010,38945,220983187,0.000176235
Bosnia and Herzegovina,WORLD,2015,38597,247958644,0.000155659
Bosnia and Herzegovina,WORLD,2020,36042,280598105,0.000128447
Croatia,WORLD,1990,475438,152986157,0.003107719
Croatia,WORLD,1995,674085,161289976,0.004179336
Croatia,WORLD,2000,585298,173230585,0.003378722
Croatia,WORLD,2005,579273,191446828,0.003025764
Croatia,WORLD,2010,573248,220983187,0.00259408
Croatia,WORLD,2015,561093,247958644,0.002262849
Croatia,WORLD,2020,528056,280598105,0.001881894
Gibraltar,WORLD,1990,8709,152986157,5.69E-05
Gibraltar,WORLD,1995,8381,161289976,5.20E-05
Gibraltar,WORLD,2000,8054,173230585,4.65E-05
Gibraltar,WORLD,2005,9211,191446828,4.81E-05
Gibraltar,WORLD,2010,10369,220983187,4.69E-05
Gibraltar,WORLD,2015,11065,247958644,4.46E-05
Gibraltar,WORLD,2020,11190,280598105,3.99E-05
Greece,WORLD,1990,618139,152986157,0.00404049
Greece,WORLD,1995,857850,161289976,0.005318681
Greece,WORLD,2000,1111665,173230585,0.006417256
Greece,WORLD,2005,1190707,191446828,0.006219518
Greece,WORLD,2010,1321149,220983187,0.005978505
Greece,WORLD,2015,1242924,247958644,0.005012626
Greece,WORLD,2020,1340456,280598105,0.004777138
Vatican,WORLD,1990,762,152986157,4.98E-06
Vatican,WORLD,1995,778,161289976,4.82E-06
Vatican,WORLD,2000,790,173230585,4.56E-06
Vatican,WORLD,2005,798,191446828,4.17E-06
Vatican,WORLD,2010,783,220983187,3.54E-06
Vatican,WORLD,2015,790,247958644,3.19E-06
Vatican,WORLD,2020,809,280598105,2.88E-06
Italy,WORLD,1990,1428219,152986157,0.009335609
Italy,WORLD,1995,1774954,161289976,0.011004738
Italy,WORLD,2000,2121688,173230585,0.012247768
Italy,WORLD,2005,3954790,191446828,0.020657381
Italy,WORLD,2010,5787893,220983187,0.026191554
Italy,WORLD,2015,5805328,247958644,0.023412485
Italy,WORLD,2020,6386998,280598105,0.022762085
Malta,WORLD,1990,15077,152986157,9.86E-05
Malta,WORLD,1995,17740,161289976,0.000109988
Malta,WORLD,2000,21521,173230585,0.000124233
Malta,WORLD,2005,24560,191446828,0.000128286
Malta,WORLD,2010,33008,220983187,0.000149369
Malta,WORLD,2015,52642,247958644,0.000212302
Malta,WORLD,2020,114760,280598105,0.000408984
Montenegro,WORLD,1990,0,152986157,0
Montenegro,WORLD,1995,0,161289976,0
Montenegro,WORLD,2000,0,173230585,0
Montenegro,WORLD,2005,0,191446828,0
Montenegro,WORLD,2010,78512,220983187,0.000355285
Montenegro,WORLD,2015,71719,247958644,0.000289238
Montenegro,WORLD,2020,70999,280598105,0.000253027
San Marino,WORLD,1990,3310,152986157,2.16E-05
San Marino,WORLD,1995,3659,161289976,2.27E-05
San Marino,WORLD,2000,4045,173230585,2.34E-05
San Marino,WORLD,2005,4218,191446828,2.20E-05
San Marino,WORLD,2010,4880,220983187,2.21E-05
San Marino,WORLD,2015,5195,247958644,2.10E-05
San Marino,WORLD,2020,5543,280598105,1.98E-05
Slovenia,WORLD,1990,178077,152986157,0.001164007
Slovenia,WORLD,1995,174419,161289976,0.0010814
Slovenia,WORLD,2000,214508,173230585,0.00123828
Slovenia,WORLD,2005,217218,191446828,0.001134613
Slovenia,WORLD,2010,253786,220983187,0.00114844
Slovenia,WORLD,2015,237616,247958644,0.000958289
Slovenia,WORLD,2020,277964,280598105,0.000990613
Spain,WORLD,1990,821605,152986157,0.005370453
Spain,WORLD,1995,1020067,161289976,0.006324429
Spain,WORLD,2000,1657285,173230585,0.009566931
Spain,WORLD,2005,4107226,191446828,0.021453612
Spain,WORLD,2010,6280062,220983187,0.028418732
Spain,WORLD,2015,5891208,247958644,0.023758833
Spain,WORLD,2020,6842202,280598105,0.024384349
Cyprus,WORLD,1990,43805,152986157,0.000286333
Cyprus,WORLD,1995,61941,161289976,0.000384035
Cyprus,WORLD,2000,80076,173230585,0.000462251
Cyprus,WORLD,2005,122849,191446828,0.000641687
Cyprus,WORLD,2010,188472,220983187,0.000852879
Cyprus,WORLD,2015,176693,247958644,0.000712591
Cyprus,WORLD,2020,190366,280598105,0.000678429
Israel,WORLD,1990,1632704,152986157,0.010672234
Israel,WORLD,1995,1792185,161289976,0.011111571
Israel,WORLD,2000,1851309,173230585,0.010686964
Israel,WORLD,2005,1889503,191446828,0.009869597
Israel,WORLD,2010,1956190,220983187,0.008852212
Israel,WORLD,2015,2011727,247958644,0.008113155
Israel,WORLD,2020,1953575,280598105,0.006962182
Jordan,WORLD,1990,1146349,152986157,0.007493155
Jordan,WORLD,1995,1537097,161289976,0.009530022
Jordan,WORLD,2000,1927845,173230585,0.01112878
Jordan,WORLD,2005,2198740,191446828,0.01148486
Jordan,WORLD,2010,2786853,220983187,0.012611154
Jordan,WORLD,2015,3166961,247958644,0.012772134
Jordan,WORLD,2020,3457691,280598105,0.012322574
Lebanon,WORLD,1990,523693,152986157,0.00342314
Lebanon,WORLD,1995,608303,161289976,0.003771487
Lebanon,WORLD,2000,692913,173230585,0.003999946
Lebanon,WORLD,2005,742243,191446828,0.003877019
Lebanon,WORLD,2010,793191,220983187,0.003589373
Lebanon,WORLD,2015,1916259,247958644,0.00772814
Lebanon,WORLD,2020,1712762,280598105,0.006103969
Palestine,WORLD,1990,288332,152986157,0.001884693
Palestine,WORLD,1995,281767,161289976,0.001746959
Palestine,WORLD,2000,275202,173230585,0.001588646
Palestine,WORLD,2005,274520,191446828,0.001433923
Palestine,WORLD,2010,273840,220983187,0.001239189
Palestine,WORLD,2015,273163,247958644,0.001101647
Palestine,WORLD,2020,272784,280598105,0.000972152
Syria,WORLD,1990,714140,152986157,0.004668004
Syria,WORLD,1995,830610,161289976,0.005149793
Syria,WORLD,2000,834916,173230585,0.00481968
Syria,WORLD,2005,882398,191446828,0.004609102
Syria,WORLD,2010,1783595,220983187,0.00807118
Syria,WORLD,2015,835716,247958644,0.003370385
Syria,WORLD,2020,868711,280598105,0.003095926
Turkey,WORLD,1990,1163686,152986157,0.007606479
Turkey,WORLD,1995,1216173,161289976,0.007540289
Turkey,WORLD,2000,1280963,173230585,0.007394554
Turkey,WORLD,2005,1324108,191446828,0.006916322
Turkey,WORLD,2010,1373749,220983187,0.006216532
Turkey,WORLD,2015,4346197,247958644,0.017527911
Turkey,WORLD,2020,6052652,280598105,0.021570538
Algeria,WORLD,1990,273954,152986157,0.001790711
Algeria,WORLD,1995,262032,161289976,0.001624602
Algeria,WORLD,2000,250110,173230585,0.001443798
Algeria,WORLD,2005,197728,191446828,0.001032809
Algeria,WORLD,2010,217268,220983187,0.000983188
Algeria,WORLD,2015,239473,247958644,0.000965778
Algeria,WORLD,2020,250378,280598105,0.000892301
Egypt,WORLD,1990,173833,152986157,0.001136266
Egypt,WORLD,1995,166955,161289976,0.001035123
Egypt,WORLD,2000,184774,173230585,0.001066636
Egypt,WORLD,2005,285006,191446828,0.001488695
Egypt,WORLD,2010,310017,220983187,0.001402899
Egypt,WORLD,2015,353641,247958644,0.00142621
Egypt,WORLD,2020,543937,280598105,0.001938491
Libya,WORLD,1990,457075,152986157,0.002987689
Libya,WORLD,1995,508041,161289976,0.003149861
Libya,WORLD,2000,567436,173230585,0.003275611
